"hagrid";"gene_name";"hgncid";"entrezid";"organism";"cancer_type";"senescence_effect";"description";"notes"
"91";"HRAS";"5173";"3265";"Human";"No";"Induces";"Expression of oncogenic ras (HRAS) in lung fibroblasts resulted in a permanent G1 arrest, accompanied by accumulation of senescence associated factors, p53 and p16. These changes were phenotypically indistinguishable from cellular senescence.";""
"92";"HSPA5";"5238";"3309";"Human";"Yes";"Inhibits";"Overexpression of GRP78 (HSPA5) protected cisplatin-sensitive ovarian cancer cells (A2780) from cisplatin-induced senescence through P53 and CDC2. Knockdown of GRP78 rescued the senescence sensitivity of cisplatin-resistant C13K cells to cisplatin through P21 and CDC2.";"A2780  human ovarian carcinoma cells"
"93";"HSPB2";"5247";"3316";"Human";"No";"Inhibits";"Expression of Hsp27 (HSPB2) lead to protection of mammary epithelial cells (MCF-10A) from doxorubicin-induced senescence. In contrast, down-regulation of Hsp27 in HCT116 human colon carcinoma cells, that express Hsp27 at high levels, caused senescence in a population of cells and sensitized the rest of the cells to doxorubicin-induced senescence.";""
"94";"ID1";"5360";"3397";"Human";"No";"Inhibits";"Overexpression of ID1 delayed the onset of replicative senescence in human endothelial cells and resulted in increased replicative capacity correlated with low gene expression of senescence markers, p16, p21, and p27.";""
"95";"ID4";"5363";"3400";"Human";"Yes";"Induces";"ID4 was found to promote cellular senescence in prostate cancer cells (DU145). Ectopic overexpression of ID4 in androgen receptor-negative DU145 cells resulted in increased expression of p16, p21, p27, E-cadherin and vimentin but down-regulated E2F1 expression. ID4 also potentiated the effect of doxorubicin induced senescence and apoptosis.";"DU145 cells"
"96";"IGFBP1";"5469";"3484";"Human";"Yes";"Induces";"Transfection of IGFBP1 or addition of condition medium from IGFBP1-transfected cells to breast cancer cells (MCF-7) caused induction of several senescent phenotypes, including a decrease in cell proliferation, increase in G0/G1 cell cycle arrest cells, changes in cell morphology and increased SA-beta-galactosidase activity.";"MCF-7 breast cancer cells"
"97";"IFNG";"5438";"3458";"Human";"No";"Induces";"IFN-gamma (IFNG) treatment induced cellular senescence in umbilical vein endothelial cells (HUVECs), as confirmed by G0/G1 cell cycle arrest, up-regulation of p53 and p21 protein levels, increased SA-beta-galactosidase staining and the accumulation of SA-heterochromatin foci.";""
"98";"IGFBP3";"5472";"3486";"Human";"No";"Induces";"RNA interference of IGFBP3 attenuated the premature senescence induced by sub lethal doses of tert-butylhydroperoxide or ethanol.";""
"99";"IGFBP6";"5475";"3489";"Human";"No";"Inhibits";"Downregulation of IGFBP6 inhibited cell proliferation, increased apoptotic cell death and led to premature entry into cellular senescence. In contrast, overexpression of IGFBP6 increased cellular lifespan.";"Human primary diploid fibroblasts (HDFs)"
"100";"IGFBP5";"5474";"3488";"Human";"No";"Induces";"Knockdown of IGFBP5 in old human umbilical endothelial cells lead to a partial reduction of the senescence phenotype, including changes in cell morphology, increased cell proliferation, and decreased SA-beta-galactosidase staining. In contrast, overexpression of IGFBP5 in young cells leads to premature senescence.";""
"101";"IL1A";"5991";"3552";"Human";"No";"Induces";"Treatment of human endothelial cells with an antisense oligodeoxynucleotide of IL-1 alpha (IL1A) prevented cell senescence and extended the proliferative lifespan of cells.";""
"102";"IL8";"6025";"3576";"Human";"No";"Induces";"RNA interference of the chemokine receptor CXCR2 (IL8) alleviated both replicative and oncogene-induced senescence and diminished the DNA-damage response. Conversely, ectopic expression of CXCR2 resulted in premature senescence via a p53-dependent mechanism.";""
"103";"ING1";"6062";"3621";"Human";"No";"Induces";"Fibroblasts overexpressing the ING1a isoform resulted in cell cycle arrest with cells displaying a senescent-like flattened morphology, an increase in SA-heterochromatin foci and increased SA-beta-galactosidase activity. In contrast, overexpressing the ING1b isoform induced nuclear changes characteristic to apoptosis.";""
"104";"ING2";"6063";"3622";"Human";"No";"Induces";"Overexpression of ING2 induced cellular senescence in young fibroblasts in a p53-dependent manner. In contrast, RNA interference of ING2 delayed the onset of senescence.";""
"105";"IRF3";"6118";"3661";"Human";"No";"Induces";"Overexpression of IRF3 in foreskin fibroblasts (BJ cells) decreased cell growth and increased SA-beta-galactosidase activity by activating p53.";""
"106";"IRF5";"6120";"3663";"Human";"Yes";"Induces";"Overexpression of IRF5 in immortal MDAH041 cells resulted in reduced proliferation rates, reduced cell growth, and increased SA-beta-galactosidase activity.";""
"107";"IRF7";"6122";"3665";"Human";"Yes";"Induces";"Overexpression of IRF7 in immortal MDAH041 cells resulted in reduced proliferation rates, reduced cell growth, and increased senescence-associated beta-galactosidase activity.";""
"108";"ITPK1";"6177";"3705";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"109";"ITGB4";"6158";"3691";"Human";"No";"Induces";"RNA interference of integrin beta4 (ITGB4) in vascular endothelial cells attenuated the senescence phenotype.";""
"110";"ITPKB";"6179";"3707";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"111";"ITSN2";"6184";"50618";"Human";"No";"Induces";"Overexpression of ITSN2 independently induced expression of the p16 and p57, two senescence associated cyclin-dependent kinase inhibitors, which act to block Rb inactivation as downstream effectors of ING1a. ITSN2 was also expressed in normally senescing cells, consistent with elevated levels of ING1a inducing ITSN2 as part of a normal senescence program. Knockdown of ITSN2 blocked the ability of ING1a to induce a senescent phenotype, confirming that ITSN2 is a major transducer of ING1a-induced senescence signalling.";"Hs68 and WI-38 fibroblast cells"
"112";"KCNJ12";"6258";"3768";"Human";"Yes";"Inhibits";"Knockdown of Kir2.2 (KCNJ12) induced a significant increase in reactive oxygen species, followed by growth arrest, increased SA-beta-galactosidase activity and upregulated senescence markers in cancer cells lacking functional p53, p16, or Rb (including prostate, stomach, and breast cancer cells). Conversely, overexpression of Kir2.2 decreased doxorubicin-induced ROS accumulation and cell growth inhibition.";""
"113";"KDM4A";"22978";"9682";"Human";"Yes";"Unclear";"The expression of JMJD2A (KDM4A) inhibited Ras-mediated CHD5 induction, leading to reduced p53 pathway activity. In addition, JMJD2A overexpression in mouse and human lung cancers was shown. Depletion of JMJD2A human lung cancer cells bearing an activated K-Ras allele triggered senescence.";"Human lung cancer cell line A549"
"114";"KDM5B";"18039";"10765";"Human";"Yes";"Inhibits";"Depletion of JARID1B (KDM5B) resulted in loss of epithelial differentiation and suppressed CRC cell growth, which is associated with induction of phosphorylation by the c-Jun N-terminal kinase (Jnk/Sapk) and SA-beta-galactosidase activity.";"CRC cell lines=Colo201, DLD1 and HCT116"
"115";"KIAA1524";"29302";"57650";"Human";"Yes";"Inhibits";"Depletion of CIP2A (KIAA1524), which is overexpressed in gastric cancer samples, substantially inhibited growth and clonogenic capabilities of tumor cells, and promoted cellular senescence. This effect was independent of the p53 and pRB pathways.";""
"116";"KL";"6344";"9365";"Human";"No";"Inhibits";"Downregulation of Klotho (KL) by RNA interference up-regulated p21 expression, induced a flattened and enlarged cell morphology and led to an increased SA-beta-galactosidase activity, ultimately shortening replicative lifespan and reducing the growth rate of lung fibroblasts.";""
"117";"KSR2";"18610";"283455";"Human";"Yes";"Unclear";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including KSR2) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"118";"LATS1";"6514";"9113";"Human";"Yes";"Inhibits";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including LATS1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"119";"LEO1";"30401";"123169";"Human";"No";"Unclear";"Overexpression of RDL (LEO1) slightly delayed fibroblast senescence, whereas suppression of RDL expression had no effect on senescence. The introduction of only the Leo1-like domain of RDLp shortened the replicative life span of fibroblasts and promoted senescent features, whilst the introduction of truncated RDL without Leo significantly prolonged cell lifespan and caused a noticeable delay of senescent features.";""
"120";"LGALS3";"6563";"3958";"Human";"Yes";"Inhibits";"In galectin-3 (LGALS3) depleted gastric cancer cells premature senescence, decreased Skp2 and increased p27 expression was shown.";"Twelve human gastric cancer cell lines (AGS, MKN28, YCC-2, KATO-III, SNU-1, SNU-5, SNU-16, SNU-216, SNU-601, SNU-638, SNU-668, and SNU-719)"
"121";"LIMA1";"24636";"51474";"Human";"No";"Inhibits";"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells.";"IMR-90 cells"
"122";"LIMK1";"6613";"3984";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"123";"MAGEA2";"6800";"4101";"Human";"No";"Inhibits";"Overexpression of MAGEA2 inhibited ras-induced cellular senescence and increased proliferation in human foreskin fibroblasts.";"BJ/ET/RasV12ER cells"
"124";"MAGOH";"6815";"4116";"Human";"No";"Inhibits";"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells.";"IMR-90 cells"
"125";"MAD2L1";"6763";"4085";"Human";"No";"Inhibits";"RNA interference of Mad2 (MAD2L1) induced aneuploidy and premature cellular senescence in human lung fibroblasts. These displayed typical features of senescent cells, including increased SA-beta-galactosidase expression, along with up-regulation of p53, p14 and p21.";"Primary human fibroblasts (IMR-90) and epithelial breast cells (MCF-10A)"
"126";"MAGOHB";"25504";"55110";"Human";"No";"Inhibits";"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells.";"IMR-90 cells"
"127";"MAP2K1";"6840";"5604";"Human";"No";"Induces";"Constitutive expression of MEK1 (MAP2K1) caused cells to stop proliferating and become arrested in the G0/G1 phase. This was accompanied by a flatter and enlarged cell morphology, an increase in SA-beta-galactosidase activity and an increase in cellular senescence markers, including p21, p16 and p53.";""
"128";"MAP2K3";"6843";"5606";"Human";"Yes";"Inhibits";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including MAP2K3) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"129";"MAP2K2";"6842";"5605";"Human";"No";"Induces";"Activated MEK (MAP2K2) caused cell cycle arrest, a dramatic reduction in BrdU incorporation, altered expression of cell-cycle proteins, upregulation of senescence markers p53, p16, and p21, and increased SA-beta-galactosidase activity. MEK-arrested cells did not exhibit senescent morphological changes and instead kept a small and refractile morphology.";""
"130";"MAP2K6";"6846";"5608";"Human";"Yes";"Induces";"Expression of activated MKK6 (MAP2K6) induced morphological, biochemical, and genetic markers of cellular senescence, including permanent cell cycle arrest, up-regulation of p21, increased SA-beta-galactosidase activity, and lipofuscin-associated autofluorescence.";""
"131";"MAP3K6";"6858";"9064";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"132";"MAP2K7";"6847";"5609";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"133";"MAP4K1";"6863";"11184";"Human";"Yes";"Inhibits";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including MAP4K1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16  expression.";"hTERT-RPE1, 293T cells"
"134";"MAP3K7";"6859";"6885";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"135";"MAPK12";"6874";"6300";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"136";"MAPKAPK5";"6889";"8550";"Human";"No";"Induces";"Knockout of PARK (MAPKAPK5) inhibited ras-induced senescence in human foreskin fibroblasts (BJ cells) and promoted oncogenic transformation. This prevented proliferative arrest and the accumulation of SA-beta-galactosidase.";""
"137";"Mar-05";"26025";"54708";"Human";"yes";"Inhibits";"Knockdown of MARCH5 resulted in increased cellular senescence, marked by flattened cells with an enlarged cellular morphology, elongated mitochondria and increased SA-beta-galactosidase activity.";""
"138";"MAPK14";"6876";"1432";"Human";"No";"Induces";"Knockout of p38 (MAPK14) with a specific inhibitor (SB203580) in lung fibroblasts inhibited senescence. 80% of cells with inhibited p38 showed BrdU incorporation. There was also a large decrease in SA-beta-galactosidase activity and the cells changed from the flat enlarged morphology associated with senescence to a spindle shaped one.";""
"139";"MAST1";"19034";"22983";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"140";"MATK";"6906";"4145";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"141";"MCL1";"6943";"4170";"Human";"Yes";"Inhibits";"Overexpression of MCL1 in p53+ cell lines inhibited chemotherapy-induced senescence. Conversely, downregulation of Mcl-1 resulted in sensitivity to chemotherapy-induced senescence. Surprisingly, downregulation of MCL1 in p53- cells restored chemotherapy-induced senescence to similar levels as p53+ cells.";"HCT116 human colon cancer cell lines"
"142";"MDH1";"6970";"4190";"Human";"No";"Inhibits";"In young dermal or lung fibroblasts knockdown of MDH1, which has reduced activity in old dermal fibroblasts, resulted in the appearance of significant cellular senescence features including SA-beta-galactosidase  staining, flattened and enlarged morphology, increased population doubling time and elevated p16 and p21 protein levels.";"Human dermal fibroblasts (HDFs) and the IMR-90 human fibroblast cell line"
"143";"MCRS1";"6960";"10445";"Human";"No";"Induces";"Ectopic expression of MSP58 (MCRS1) in normal human lung and foreskin fibroblasts and mammary epithelial cells resulted in induction of premature senescence, with cells displaying enlarged and flattened cell morphology and increased SA-beta-galactosidase activity.";"H184B5F5/M10, HeLa, SW-13, Hs68, NIH3T3, HT1080, IMR-90 cells"
"144";"MECP2";"6990";"4204";"Human";"No";"Inhibits";"Partial silencing of MECP2 in human mesenchymal stem cells induced a significant shift of cells from the S-phase towards the G(1) phase, accompanied by a reduction of apoptosis, triggering of senescence, decreased telomerase activity and the down-regulation of genes involved in maintaining stem cell properties.";""
"145";"MOB3A";"29802";"126308";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"146";"MMP9";"7176";"4318";"Human";"Yes";"Inhibits";"RNA interference of MMP9 in Daoy medulloblastoma cells inhibited cell proliferation, blocked medulloblastoma invasion, increased the proportion of G0/G1 arrested cells, and induced a senescence phenotype, including enlarged and flattened cell morphology, increased SA-beta-galactosidase activity and increased expression of p16/p21 markers.";""
"147";"MORC3";"23572";"23515";"Human";"No";"Induces";"Overexpression of MORC3 inhibited proliferation of WI-38 human normal fibroblasts and induced premature senescence, marked by a large flat morphology of cells and an increase in SA-beta-galactosidase activity.";""
"148";"MORF4";"15773";"10934";"Human";"Yes";"Induces";"Overexpression of MORF4 induced a senescent-like phenotype in fibrosarcoma-derived cells, including senescence-specific morphological changes and increased SA-beta-galactosidase activity.";""
"149";"MXD4";"13906";"10608";"Human";"No";"Induces";"Overexpression of hMad4 (MXD4) in human lung fibroblasts induced a replicative-like senescent phenotype, including flat and enlarged cell morphology and increased SA-beta-galactosidase activity.";""
"150";"MVK";"7530";"4598";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"151";"MYC";"7553";"4609";"Human";"No";"Inhibits";"Knockdown of c-Myc (MYC) signalling in human diploid fibroblats (HDFs) was found to trigger telomere-independent senescence. This process was mediated by cyclin-dependent kinase inhibitor p16, a common marker of senescence.";""
"152";"MYLK";"7590";"4638";"Human";"Yes";"Inhibits";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including MYLK) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"153";"NADK";"29831";"65220";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"154";"NANOG";"20857";"79923";"Human";"Yes";"Inhibits";"NANOG enhanced the proliferation of both NIH 3T3 and primary fibroblast cells. NANOG transduction into primary fibroblasts resulted in decreased SA-beta-galactosidase activity. Investigation of cell cycle factors revealed that transient activation of NANOG correlated with consistent downregulation of the cell cycle inhibitor p27, a common marker of senescence.";"NIH 3T3 MEFs, Oct4-GiP MEFs and primary human adult dermal MP fibroblasts (MP-hADF)"
"155";"NDRG1";"7679";"10397";"Human";"Yes";"Induces";"NDRG1 significantly impaired liver cancer cell growth by inducing extensive cellular senescence of liver cancer cells both in vitro and in vivo, accompanied by cell cycle arrest at the G1 phase. The observed antitumor effects of NDRG1 suppression were correlated with activation of major senescence-associated signalling pathways, such as upregulation of tumor suppressors p53, p21 and p16, and decreased phosphorylation of Rb1.";"HCC cell lines HepG2, Hep3B, Huh7, PLC/PRF/5"
"156";"NEK1";"7744";"4750";"Human";"Yes";"Inhibits";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including NEK1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"157";"NEK4";"11399";"6787";"Human";"No";"Induces";"RNA interference of the Never in Mitosis Gene A (NIMA)-related protein kinase gene NEK4 disrupted entry into cellular senescence and extended the number of population doublings required to reach replicative senescence in several human fibroblast strains. These cells showed decreased transcription of the cyclin-dependent kinase inhibitor p21, a marker of senescence.";"Human foreskin fibroblasts (HFF), BJ fibroblasts, 293T cells"
"158";"NEK6";"7749";"10783";"Human";"Yes";"Inhibits";"NEK6 expression was decreased both in the replicative senescence of human normal fibroblasts and premature senescence induced by p53 expression in EJ human bladder cancer cells and H1299 human lung cancer cells. Overexpression of NEK6 in EJ and H1299 cells completely suppressed p53-induced senescence, shown by a reduction of cell cycle arrest in G1 and G2 phases as well as a reduced effect of p53 expression on cyclin B and cdc2 protein levels. Overall, it appears that reduced expression of Nek6 is required for the p53-induced cellular senescence.";""
"159";"NFE2L2";"7782";"4780";"Human";"No";"Inhibits";"Knockdown of NRF2 (NFE2L2) resulted in inhibition of proliferation and induction of premature senescence in HFL-1 fibroblasts, accompanied by typical senescent morphology, increased SA-beta-galactosidase activity and increased levels of p16.";""
"160";"NINJ1";"7824";"4814";"Human";"Yes";"Induces";"Overexpression of Ninjurin1 (NINJ1) resulted in growth inhibition, G1 cell cycle arrest, increased expression of p21, a decrease of CDK2 activity and the hypophosphorylation of Rb, as well as increased SA-beta-galactosidase activity.";""
"161";"NOTCH3";"7883";"4854";"Human";"Yes";"Induces";"NOTCH3 expression was elevated upon various senescence-inducing stimuli. This upregulation of Notch3 was required for the induction of p21 expression in senescent cells. Downregulation of Notch3 led to delayed onset of senescence and extended replicative lifespan, whereas expression of Notch3 was sufficient to activate senescence and p21 expression.";"Human cell lines (BJ, WS1, MDA-MB-231, MDA-MB-435, MCF-7, SK-BR-3, A375P, A2058, HT144, T98G, U-87 MG, J82, T24, HeLa and 293T)"
"162";"NOX4";"7891";"50507";"Human";"No";"Induces";"Stable overexpression of NOX4 in normal breast epithelial cells resulted in H2O2 production, cellular senescence, resistance to apoptosis, and tumorigenic transformation. In contrast, inhibition of Nox4 in lung fibroblasts by RNA interference blocked the RasV12 senescent phenotype including beta-galactosidase activity, growth arrest and accumulation of tumor suppressors such as p53 and p16. This suggests that Nox-generated ROS transduce senescence signals by activating the p53 and p16 pathways.";"Primary human lung TIG-3 cells"
"163";"NR2E1";"7973";"7101";"Human";"No";"Unclear";"NR2E1 knockdown human fibroblasts and epithelial cells showed restrained senescence. It was also shown that NR2E1 regulated CBX7 and restrained senescence in NSCs.";"Human fibroblasts and epithelial cells."
"164";"NTN4";"13658";"59277";"Human";"Yes";"Inhibits";"The suppression of either ITGB4 or NTN4 in glioblastoma cells (U87MG) significantly enhanced cellular senescence. The sensitivity of glioblastoma cells to TMZ was primarily determined by the expression of MGMT. To omit the effect of MGMT, cell lines devoid of MGMT expression were used. NTN4 partially inhibited TMZ induced cell senescence and rescued AKT from dephosphorylation in U251MG cells, a cell line bearing levels of ITGB4. However, addition of exogenous NTN4 displayed no significant effect on TMZ induced senescence rescue or AKT activation in U87MG cells, which expressed ITGB4 at low levels. Overexpression of ITGB4 combined with exogenous NTN4 significantly attenuated U87MG cell senescence induced by TMZ.";"U251MG, U118MG, T98G, U87MG and 293FT cells"
"165";"NUAK1";"14311";"9891";"Human";"No";"Induces";"Knockdown of the AMPK-related protein kinase 5 (NUAK1) resulted in an extension of cellular replicative lifespan in normal human diploid fibroblasts. In contrast, ectopic expression of NUAK1 triggered premature senescence.";""
"166";"OTX2";"8522";"5015";"Human";"Yes";"Induces";"Conditional overexpression of OTX2 inhibited proliferation and induced a senescence-like phenotype in both MED8A and DAOY medulloblastoma cell lines.";""
"167";"P3H1";"19316";"64175";"Human";"No";"Inhibits";"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells.";"IMR-90 cells"
"168";"PATZ1";"13071";"23598";"Human";"No";"Inhibits";"Knockdown of PATZ1 in young endothelial cells accelerated premature senescence, including growth arrest, increased p53 protein level and SA-beta-galactosidase activity and repressed endothelial cell tube formation. In contrast, overexpression of PATZ1 in senescent cells reversed senescent phenotypes.";"Human umbilical vein endothelial cells (HUVECs)"
"169";"PAK4";"16059";"10298";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"170";"PBRM1";"30064";"55193";"Human";"No";"Induces";"BAF180 (PBRM1) depletion using RNA interference resulted in both increased proliferation and delayed senescence.";""
"171";"PCGF2";"12929";"7703";"Human";"No";"Induces";"Overexpression of Mel-18 (PCGF2) in normal human diploid fibroblasts lead to inhibition of cellular proliferation and induced premature senescence, marked by an increase in SA-beta-galactosidase activity. In contrast, knockdown of Mel-18 extended replicative lifespan.";""
